trans_date_trans_time,cc_num,merchant,category,amt,city
2020-06-21 22:06:39,3560725013359375,fraud_Hamill-D'Amore,health_fitness,24.84,Notrees
2020-06-21 22:32:22,6564459919350820,"fraud_Rodriguez, Yost and Jenkins",misc_net,780.52,Benton
2020-06-21 22:37:27,6564459919350820,fraud_Nienow PLC,entertainment,620.33,Benton
2020-06-21 22:38:55,4005676619255478,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1077.69,Denham Springs
2020-06-21 23:02:16,3560725013359375,fraud_Hermann and Sons,shopping_pos,842.65,Notrees
2020-06-21 23:16:12,3524574586339330,fraud_Thompson-Gleason,health_fitness,22.55,Vero Beach
2020-06-21 23:21:44,4005676619255478,fraud_Kuhic LLC,shopping_net,1128.26,Denham Springs
2020-06-21 23:35:27,4005676619255478,"fraud_Reichert, Rowe and Mraz",shopping_net,931.82,Denham Springs
2020-06-21 23:40:26,4005676619255478,"fraud_Kihn, Abernathy and Douglas",shopping_net,983.0,Denham Springs
2020-06-21 23:59:05,6564459919350820,fraud_Lemke-Gutmann,shopping_net,955.16,Benton
2020-06-22 00:06:40,4005676619255478,"fraud_Rodriguez, Yost and Jenkins",misc_net,701.81,Denham Springs
2020-06-22 01:18:02,3524574586339330,"fraud_Yost, Block and Koepp",misc_pos,8.39,Vero Beach
2020-06-22 01:25:13,4005676619255478,"fraud_Goldner, Kovacek and Abbott",grocery_pos,326.94,Denham Springs
2020-06-22 01:54:33,3524574586339330,"fraud_Osinski, Ledner and Leuschke",grocery_pos,353.08,Vero Beach
2020-06-22 03:38:35,4005676619255478,"fraud_Kerluke, Considine and Macejkovic",misc_net,868.48,Denham Springs
2020-06-22 03:48:20,3524574586339330,fraud_Skiles-Ankunding,grocery_net,13.25,Vero Beach
2020-06-22 03:55:36,3524574586339330,fraud_Kuhn LLC,shopping_pos,777.45,Vero Beach
2020-06-22 04:58:25,3524574586339330,fraud_Schumm PLC,shopping_net,967.86,Vero Beach
2020-06-22 21:51:05,4005676619255478,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,825.81,Denham Springs
2020-06-22 22:20:13,3524574586339330,fraud_Shanahan-Lehner,personal_care,21.92,Vero Beach
2020-06-22 23:08:25,3524574586339330,"fraud_Haley, Batz and Auer",health_fitness,21.74,Vero Beach
2020-06-22 23:35:47,3524574586339330,fraud_Kutch-Wilderman,home,250.32,Vero Beach
2020-06-24 00:26:45,180098888332620,fraud_DuBuque LLC,grocery_pos,315.45,Springville
2020-06-24 00:44:24,180098888332620,"fraud_Huel, Hammes and Witting",grocery_pos,279.78,Springville
2020-06-24 02:56:50,180098888332620,fraud_Murray-Smitham,grocery_pos,287.38,Springville
2020-06-24 03:21:56,180098888332620,fraud_Heidenreich PLC,grocery_pos,276.4,Springville
2020-06-24 03:33:40,180098888332620,fraud_Huels-Hahn,gas_transport,7.82,Springville
2020-06-24 22:03:55,180098888332620,fraud_Durgan-Auer,misc_net,790.54,Springville
2020-06-24 22:07:11,180098888332620,fraud_Bednar Group,misc_net,723.23,Springville
2020-06-24 22:26:26,3593118134380341,fraud_Hills-Boyer,personal_care,46.36,Steuben
2020-06-24 22:30:10,180098888332620,fraud_Sawayn PLC,shopping_pos,996.31,Springville
